company_id,type,rule_id,text,confidence_pct
COMP_01,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81
COMP_01,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_01,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COMP_01,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
COMP_01,con,C_DEF,Growth metrics require continued monitoring against macro headwinds,65
COMP_02,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_02,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_02,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COMP_02,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
COMP_02,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
COMP_02,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
COMP_02,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
COMP_02,con,C_DEF,Growth metrics require continued monitoring against macro headwinds,65
COMP_03,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,71
COMP_03,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_03,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COMP_03,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
COMP_03,con,C1,Debt-to-equity ratio of 2.38 is elevated for a non-financial company and warrants monitoring,85
COMP_03,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
COMP_04,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_04,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_04,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
COMP_04,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,70
COMP_04,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
COMP_04,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
COMP_05,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,77
COMP_05,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_05,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_05,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COMP_05,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
COMP_05,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,70
COMP_05,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
COMP_06,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79
COMP_06,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_06,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_06,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
COMP_06,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,70
COMP_06,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
COMP_07,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_07,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
COMP_07,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
COMP_07,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
COMP_07,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
COMP_07,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
COMP_08,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,77
COMP_08,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_08,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_08,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COMP_08,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
COMP_08,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
COMP_08,con,C_DEF,Growth metrics require continued monitoring against macro headwinds,65
COMP_09,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,71
COMP_09,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_09,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
COMP_09,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
COMP_09,con,C1,Debt-to-equity ratio of 2.35 is elevated for a non-financial company and warrants monitoring,85
COMP_10,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COMP_10,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_10,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
COMP_10,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,70
COMP_10,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
COMP_11,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
COMP_11,con,C1,Debt-to-equity ratio of 2.24 is elevated for a non-financial company and warrants monitoring,85
